"Logistic Regression (SentenceTransformer) Train","Logistic Regression (SentenceTransformer) Val","Simple NN (SentenceTransformer) Train","Simple NN (SentenceTransformer) Val","Logistic Regression (Trained Word2Vec) Train","Logistic Regression (Trained Word2Vec) Val","Simple NN (Trained Word2Vec) Train","Simple NN (Trained Word2Vec) Val","Logistic Regression (Pretrained Word2Vec) Train","Logistic Regression (Pretrained Word2Vec) Val","Simple NN (Pretrained Word2Vec) Train","Simple NN (Pretrained Word2Vec) Val","Simple RNN Train","Simple RNN Val",
1.7603459648183875,1.7572433829307557,0.9069069285650511,0.7933079332113266,1.6558120540670447,1.6466336131095887,0.7272814576690262,0.6548404186964035,1.6382978188024986,1.6439973950386046,0.996993680258055,0.9997462332248688,0.6065056682932544,0.5975688276153842,
1.7560968141298037,1.7526826977729797,0.7916294948474781,0.7140274196863174,1.648297438750396,1.639076864719391,0.6728802146138372,0.6224854946136474,1.6305747998727333,1.6350141525268556,0.9496085482674677,0.9569851100444794,0.5820180777986056,0.5757606998053653,
1.7515989638663627,1.748045301437378,0.7381677047626393,0.6623733803629875,1.6426291175790735,1.6315767645835877,0.6372390236403491,0.6003949701786041,1.6154505239950645,1.6262177586555482,0.9102445212570397,0.9160534739494324,0.562804709261275,0.5585050826605386,
1.7470287922266368,1.743405556678772,0.6751678485322643,0.6275143951177597,1.6366179440472577,1.6241580247879028,0.6353068238980061,0.5856005102396011,1.6072008674209182,1.6174724817276,0.8857652979928095,0.8751527667045593,0.5474933362023952,0.5446570638785393,
1.7428306502264899,1.7388243675231934,0.6474601682778951,0.6020719692111015,1.62817813899066,1.6168044209480286,0.6224759720467232,0.5759986609220504,1.597380654231922,1.6089857816696167,0.8359255806819813,0.8347609758377075,0.5350688936194676,0.5332996285918478,
1.7380366840878048,1.7341856956481934,0.6395892259236928,0.5828271955251694,1.6187602990382426,1.6094862341880798,0.5961061546931395,0.567443773150444,1.586697878064336,1.6006871581077575,0.8005169372300844,0.7959536731243133,0.5248353510678028,0.523880641957555,
1.7344346239760116,1.7296521663665771,0.6012695560584197,0.5679365634918213,1.6114517128145374,1.6021653056144713,0.6020403101637557,0.5599492073059082,1.5851567725877505,1.5924850583076477,0.7701193835284259,0.7588486135005951,0.516312398983032,0.5159974697128811,
1.730230460295806,1.7251691341400146,0.5946599535039954,0.5542523398995399,1.6055890837231197,1.5948936939239502,0.5893598504968591,0.5538456410169601,1.5783937074042655,1.5846616864204406,0.7441711232468888,0.7235483705997467,0.5090738102900373,0.5092998457931127,
1.725777278075347,1.7206769585609436,0.5821072926392427,0.5431560829281807,1.5973154499724105,1.5876968026161193,0.574314277719807,0.5477491796016694,1.5663540492186676,1.577085590362549,0.7008535870023676,0.69134241938591,0.5028959797972685,0.5036006559680444,
1.722354698825527,1.716165578365326,0.578516241666433,0.5318055436015129,1.5910769765441481,1.5805105805397033,0.5842166623553714,0.5429313212633133,1.5507787466049194,1.5694984316825866,0.6711516726661373,0.6604583978652954,0.4975436820299781,0.4986151409349576,
1.7175290616782937,1.711691176891327,0.5584216987764513,0.5220060244202613,1.5856246142774015,1.5733899354934693,0.5675142334925162,0.5360369622707367,1.545262733021298,1.561860692501068,0.6446045105521744,0.6328667402267456,0.49284159008476996,0.494265899391857,
1.7131539164362728,1.7072482585906983,0.545963718278988,0.5109856933355331,1.5757160927798297,1.5663399577140809,0.5560380864787746,0.52922925055027,1.54604252931234,1.5544428944587707,0.6248264941009315,0.6090903580188751,0.48866339493310557,0.49038362761317,
1.7089853931117702,1.7028372526168822,0.5436146549276404,0.4997438222169876,1.5686286301226229,1.5592934012413024,0.5503527111298329,0.5231918632984162,1.5313468366055876,1.5474085569381715,0.6143266735850154,0.587601238489151,0.48493669997269945,0.4869556571358972,
1.7049681495975804,1.6983402132987977,0.5218349509948009,0.48783505260944365,1.5618890169504527,1.552267360687256,0.548080759273993,0.5171982824802399,1.5235318267667615,1.540367567539215,0.5989841979903143,0.5698096573352813,0.4815649849644826,0.4839041823452569,
1.7008343451731913,1.6938896775245667,0.5005946171444815,0.4747735306620598,1.5581066157366779,1.545311200618744,0.5363825825420586,0.509032940864563,1.513245473036895,1.5334706425666809,0.5696875924194181,0.5543236285448074,0.4785185897629294,0.4811060799144354,
1.6960734676670384,1.6895097494125366,0.4944428769317833,0.46195703446865083,1.5498113535545968,1.538450574874878,0.5291775344191371,0.5019743740558624,1.5161101109272725,1.5265796303749084,0.5829973301372012,0.5425479233264923,0.47572578684470185,0.4785906441267297,
1.6930419077744354,1.6851399660110473,0.47754297063157364,0.446861757338047,1.541032304634919,1.5316105961799622,0.5288790649658924,0.4956959068775177,1.4981858569222528,1.5201199769973754,0.5516866840220787,0.5309995472431183,0.4731571099377723,0.47629102313014277,
1.6872659728333756,1.6807817578315736,0.46525067574269063,0.43011659383773804,1.534586629352054,1.524773371219635,0.5230162836409904,0.4863625317811966,1.4910038000828512,1.5135859727859498,0.5527405110565392,0.5215219169855118,0.4707826673249087,0.4742080264100542,
1.683355283092808,1.6763209462165833,0.44583730198241567,0.4134896948933601,1.5286860820409414,1.517994260787964,0.5049408134576436,0.4778327435255051,1.4844007395409249,1.507132923603058,0.533520613167737,0.5143229186534881,0.46859850796216973,0.47229843874039723,
